snowpack,date,season,continent,region,resort,day_of_year
98,2018-04-30 00:00:00+00:00,2017,Europe,tuscany,abetone,120
98,2018-05-02 00:00:00+00:00,2017,Europe,tuscany,abetone,122
4,2016-12-09 00:00:00+00:00,2016,Europe,tuscany,abetone,344
4,2016-12-10 00:00:00+00:00,2016,Europe,tuscany,abetone,345
4,2016-12-12 00:00:00+00:00,2016,Europe,tuscany,abetone,347
4,2016-12-13 00:00:00+00:00,2016,Europe,tuscany,abetone,348
4,2016-12-14 00:00:00+00:00,2016,Europe,tuscany,abetone,349
4,2016-12-15 00:00:00+00:00,2016,Europe,tuscany,abetone,350
4,2016-12-16 00:00:00+00:00,2016,Europe,tuscany,abetone,351
4,2016-12-17 00:00:00+00:00,2016,Europe,tuscany,abetone,352
4,2016-12-19 00:00:00+00:00,2016,Europe,tuscany,abetone,354
4,2016-12-20 00:00:00+00:00,2016,Europe,tuscany,abetone,355
4,2016-12-21 00:00:00+00:00,2016,Europe,tuscany,abetone,356
4,2016-12-22 00:00:00+00:00,2016,Europe,tuscany,abetone,357
4,2016-12-23 00:00:00+00:00,2016,Europe,tuscany,abetone,358
4,2016-12-24 00:00:00+00:00,2016,Europe,tuscany,abetone,359
